N,P,K,temperature,humidity,ph,rainfall,label
27,72,18,17.99,54.79,5.55,114.72,Kidney Beans
100,25,29,22.01,68.82,6.71,165.22,Coffee
90,11,46,27.62,91.32,6.77,58.46,Watermelon
27,26,10,24.53,92.61,7.01,108.57,Orange
24,18,39,24.04,95.42,6.02,197.89,Coconut
129,58,18,27.15,69.15,6.32,68.49,Cotton
95,19,47,25.88,88.47,6.87,29.44,Muskmelon
112,49,19,25.37,87.55,7.04,86.1,Cotton
25,22,32,22.01,93.5,6.36,162.23,Coconut
101,30,35,25.67,69.39,6.5,177.72,Coffee
123,38,17,30.51,78.47,7.09,72.19,Cotton
88,43,44,25.11,80.56,6.96,212.97,Rice
94,32,26,26.73,62.76,6.89,159.35,Coffee
32,56,21,18.26,57.06,5.45,110.88,Kidney Beans
22,71,18,29.49,62.68,4.91,160.05,Pigeonpeas
33,7,29,30.45,95.37,6.23,182.2,Coconut
15,17,30,23.33,99.17,6.04,188.39,Coconut
69,51,39,27.54,81.97,6.21,200.64,Jute
91,35,37,23.74,60.61,6.49,170.93,Coffee
70,51,25,26.16,70.98,6.12,63.67,Maize
82,45,15,26.62,68.9,6.45,112.7,Maize
21,13,40,25.48,96.99,6.32,167.78,Coconut
91,49,48,20.91,90.53,5.72,236.21,Rice
25,16,26,26.04,94.87,6.4,137.45,Coconut
77,39,24,23.77,63.92,8.1,89.48,Maize
97,18,54,26.67,87.0,6.65,57.08,Watermelon
23,54,20,23.26,55.46,6.16,127.66,Kidney Beans
38,52,85,16.52,17.18,7.41,93.61,Chickpea
24,67,25,23.46,64.35,5.56,106.66,Kidney Beans
27,77,23,22.04,62.32,5.71,128.37,Kidney Beans
14,50,21,27.67,51.91,5.9,148.79,Pigeonpeas
93,24,57,24.23,87.69,6.15,61.23,Watermelon
38,59,45,35.81,87.15,6.8,147.4,Papaya
54,54,52,31.81,89.31,6.51,152.49,Papaya
94,15,56,28.45,88.8,6.66,50.74,Watermelon
114,49,23,26.0,75.61,7.1,72.35,Cotton
43,61,57,36.78,92.1,6.59,178.95,Papaya
23,131,196,21.02,83.76,6.12,104.85,Apple
18,67,17,27.88,50.13,5.35,155.17,Pigeonpeas
86,39,40,26.39,78.06,6.7,226.74,Rice
90,44,33,22.95,80.63,6.18,235.97,Rice
46,72,49,33.74,85.35,6.64,176.73,Papaya
28,17,28,27.95,91.81,6.31,156.77,Coconut
23,60,20,25.18,52.67,5.63,140.45,Pigeonpeas
30,60,23,18.27,64.45,5.75,128.3,Kidney Beans
85,48,23,28.17,68.35,6.51,65.32,Maize
103,21,27,24.34,70.37,6.72,130.98,Coffee
73,37,20,23.63,74.08,6.82,69.64,Maize
97,24,35,28.38,70.35,7.17,171.05,Coffee
22,16,27,24.85,93.71,5.36,163.81,Coconut
81,44,33,25.52,87.57,6.35,161.09,Jute
42,60,69,15.96,20.34,7.05,95.34,Chickpea
125,52,27,29.37,76.57,7.45,84.6,Cotton
37,48,79,21.85,19.78,7.69,92.36,Chickpea
29,14,35,26.13,100.0,5.89,161.51,Coconut
23,13,9,19.99,92.38,6.65,112.12,Orange
93,16,57,25.46,77.52,6.48,49.37,Watermelon
32,55,23,23.23,69.15,5.58,130.68,Kidney Beans
107,17,46,27.77,90.98,6.99,20.0,Muskmelon
83,35,31,23.45,71.49,6.83,154.28,Coffee
36,68,82,17.38,18.27,7.11,79.86,Chickpea
25,16,30,26.88,97.48,5.68,178.87,Coconut
95,46,19,27.98,68.34,6.73,117.48,Maize
72,48,21,24.96,67.53,7.31,91.8,Maize
100,21,46,26.32,89.97,6.23,29.08,Muskmelon
101,32,31,22.94,62.23,6.48,176.62,Coffee
21,72,18,20.71,56.82,6.22,115.18,Kidney Beans
107,49,23,24.25,86.76,7.32,99.96,Cotton
112,23,54,26.15,85.09,6.73,46.87,Watermelon
41,68,50,34.26,91.16,6.93,175.66,Papaya
18,67,19,31.91,56.12,5.51,187.81,Pigeonpeas
30,131,198,21.73,89.67,5.87,111.76,Apple
9,23,26,28.37,97.22,5.74,194.53,Coconut
24,23,25,26.17,92.83,6.09,172.1,Coconut
18,124,205,22.09,91.27,5.64,120.37,Apple
105,13,51,29.12,91.4,6.51,20.04,Muskmelon
53,61,59,34.73,90.79,6.7,162.35,Papaya
83,47,26,25.47,69.41,6.83,102.6,Maize
85,50,36,23.71,84.02,6.85,209.99,Rice
105,35,30,23.46,53.13,6.59,162.66,Coffee
23,69,20,23.45,56.4,5.5,106.2,Pigeonpeas
95,20,56,23.01,84.32,6.58,49.18,Watermelon
107,24,54,25.57,85.56,6.04,48.93,Watermelon
98,16,50,26.82,92.99,6.24,27.34,Muskmelon
19,145,205,19.51,96.07,5.96,120.02,Apple
91,37,34,23.16,88.68,6.4,202.42,Rice
22,143,195,24.82,91.62,6.2,123.95,Apple
80,47,41,26.84,84.08,6.46,163.91,Jute
19,59,22,25.08,68.1,6.03,138.39,Pigeonpeas
26,145,187,22.82,93.74,5.38,124.58,Apple
101,28,33,23.77,61.71,7.16,181.84,Coffee
41,70,78,20.17,15.58,7.65,66.54,Chickpea
98,41,38,23.02,76.15,6.62,246.53,Rice
43,80,83,18.37,17.0,6.8,86.05,Chickpea
122,41,17,23.06,80.55,6.55,85.93,Cotton
33,58,25,22.25,53.0,5.81,88.5,Kidney Beans
12,18,15,22.58,92.91,7.35,105.15,Orange
66,38,24,31.32,73.31,6.78,93.92,Maize
61,53,43,22.0,74.08,7.37,161.73,Jute
92,53,32,24.46,83.04,6.81,209.08,Rice
125,60,24,27.29,73.06,7.11,79.36,Cotton
102,17,49,28.73,83.25,6.68,50.3,Watermelon
53,69,46,37.41,90.41,6.93,130.82,Papaya
111,27,53,21.83,82.77,6.68,46.63,Watermelon
101,24,29,25.07,63.34,6.47,198.94,Coffee
13,22,10,17.7,91.1,6.99,106.0,Orange
87,20,52,30.33,92.54,6.0,20.2,Muskmelon
20,71,24,23.34,52.9,5.49,157.58,Pigeonpeas
85,14,62,29.22,97.75,6.65,21.29,Muskmelon
106,44,19,21.81,76.3,7.06,97.13,Cotton
73,52,39,20.56,74.4,6.6,154.07,Jute
85,48,12,21.18,64.14,5.9,94.0,Maize
19,12,30,26.65,93.69,6.13,163.48,Coconut
119,42,20,21.62,74.4,7.07,87.25,Cotton
95,15,49,23.03,85.35,6.87,51.08,Watermelon
19,77,21,28.68,47.38,5.91,133.36,Pigeonpeas
44,50,37,33.91,90.31,6.27,183.78,Papaya
31,84,21,18.74,52.26,5.78,136.56,Kidney Beans
76,24,52,28.66,91.81,6.45,22.01,Muskmelon
72,49,44,25.34,84.61,6.21,183.42,Jute
108,39,33,22.89,60.72,6.89,216.36,Coffee
39,61,97,18.65,17.37,7.52,80.44,Chickpea
79,48,41,24.63,83.39,6.23,245.81,Rice
27,145,205,21.94,92.42,6.33,96.99,Apple
33,71,25,16.86,57.38,5.48,130.82,Kidney Beans
45,47,49,40.63,94.41,7.36,177.65,Papaya
37,67,101,15.99,17.76,7.49,90.86,Chickpea
81,43,35,21.49,77.22,6.89,162.35,Jute
18,22,7,21.2,93.78,6.8,117.02,Orange
32,74,16,22.56,66.64,5.82,136.36,Kidney Beans
106,40,25,24.32,63.16,7.04,163.81,Coffee
18,136,202,23.77,97.35,5.59,114.37,Apple
85,20,49,28.27,82.31,6.44,58.98,Watermelon
41,64,78,22.35,21.02,6.78,88.3,Chickpea
113,34,30,27.7,54.44,6.4,131.44,Coffee
18,139,194,24.15,92.68,6.18,131.93,Apple
77,49,21,28.73,64.43,6.64,94.12,Maize
81,47,36,23.82,80.92,6.25,181.3,Jute
51,50,46,32.62,88.95,6.96,176.21,Papaya
18,133,198,25.17,93.2,6.05,125.04,Apple
102,49,40,24.7,77.5,7.48,243.23,Rice
101,20,55,27.58,84.31,6.46,68.79,Watermelon
38,82,82,20.0,19.0,7.47,88.39,Chickpea
15,15,11,25.4,95.36,7.43,109.19,Orange
20,74,22,25.85,55.61,5.59,123.47,Kidney Beans
105,44,18,22.13,61.67,6.18,102.84,Maize
97,18,49,28.25,95.86,6.36,20.0,Muskmelon
17,14,28,25.49,95.67,5.42,155.41,Coconut
55,53,47,33.99,91.88,6.92,119.7,Papaya
53,64,49,35.63,90.99,6.7,154.51,Papaya
13,23,10,23.11,93.2,6.48,115.48,Orange
82,48,52,24.45,78.73,6.75,194.29,Jute
99,10,45,27.79,74.04,6.86,54.17,Watermelon
60,60,51,35.43,95.51,6.2,171.69,Papaya
